MACHINE BRAND,MACHINE MODEL,MACHINE TYPE,MARKET TYPE,ENGINE BRAND,ENGINE MODEL,Piston Mamked # ,Piston Part #s,OH Kit,ENGINE CODE,DESCRIPTION,PART #,QTY PER ENGINE,ACTIVE?,NOTES
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,"ROD BEARING SET, .25MM",PU5ME0003A,1.0,Y,
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,"ROD BEARING SET, .50MM",PU5ME0003B,1.0,Y,
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,"ROD BEARING SET, .75MM",PU5ME0003C,1.0,Y,
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,"ROD BEARING SET, STD",PU5ME0003,1.0,Y,
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,THERMOSTAT,P2485C036,1.0,Y,
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,THRUST WASHER SET,P31137551/61,1.0,Y,SET CONTAINS 4 WASHERS
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,"VALVE GUIDE, EXHAUST",P3318A705,6.0,Y,
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,"VALVE GUIDE, INTAKE",P3313A012,6.0,Y,
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,VALVE KEEPER,P3142W004,24.0,Y,
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,VALVE LIFTER,P31434163,12.0,Y,
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,"VALVE SEAL, EXHAUST",P2418M505,6.0,Y,
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,"VALVE SEAL, INTAKE",P2418M506,6.0,Y,
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,VALVE SPRING,P3174P409,12.0,Y,
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,VALVE TRAIN KIT,PVTK618,1.0,Y,45° VALVES
MASSEY FERGUSON,8210,TRACTOR,AGRICULTURE,PERKINS,1006-60T,,,,YH31441,WATER PUMP,PU5MW0192,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,BASIC OVERHAUL KIT,PBK693,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,CAMSHAFT BUSHING,P31134132,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,CONNECTING ROD BOLT,P32762144,12.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,CONNECTING ROD BUSHING,P3112E011,6.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,CONNECTING ROD NUT,P33221328,12.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,CRANKSHAFT KIT,PZZ90085,1.0,Y,INCLUDES BEARINGS
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,CYLINDER HEAD GASKET,P3681H205,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,CYLINDER KIT,PCK5762,6.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,CYLINDER SLEEVE,P3135X062,6.0,Y,FINISHED SLIP-FIT SLEEVE.  FOR SEMI-FINISHED PRESS FIT SLEEVE ORDER P3135X063
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,EXHAUST VALVE,P3142D051,6.0,Y,30°
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,FRONT CRANK SEAL,P2418F436,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,FUEL TRANSFER PUMP,P2641729,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,GLOW PLUG,P2666108,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,HEAD GASKET SET,PU5LT1300,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,INTAKE VALVE,P3142L081,6.0,Y,30°
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,LOWER GASKET SET,PU5LB1301,1.0,Y,"DOES NOT INCLUDE CRANKSHAFT SEALS, FRONT COVER GASKETS MAY NEED TO BE SOURCED FROM OE DEALER"
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,"MAIN BEARING SET, .25MM",PU5MB0030A,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,"MAIN BEARING SET, .50MM",PU5MB0030B,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,"MAIN BEARING SET, .75MM",PU5MB0030C,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,"MAIN BEARING SET, STD",PU5MB0030,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,OIL COOLER,P2486A993,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,OIL PUMP,P4132F057,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,POK693/30,YJ31449,OVERHAUL KIT,POK693/30,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,PISTON RING SET,P4181A033,6.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,"PISTON, WITH PIN AND CLIPS",PU5LP0057,6.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,PUSH ROD,P31434307,12.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,REAR CRANK SEAL,P2418F475,1.0,Y,TO ESN U764751H
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,REAR CRANK SEAL,P2418F701,1.0,Y,FROM ESN U764752H
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,"ROD BEARING SET, .25MM",PU5ME0003A,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,"ROD BEARING SET, .50MM",PU5ME0003B,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,"ROD BEARING SET, .75MM",PU5ME0003C,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,"ROD BEARING SET, STD",PU5ME0003,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,THERMOSTAT,P2485C036,1.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,THRUST WASHER SET,P31137551/61,1.0,Y,SET CONTAINS 4 WASHERS
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,"VALVE GUIDE, EXHAUST",P3318A705,6.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,"VALVE GUIDE, INTAKE",P3313A012,6.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,VALVE KEEPER,P3142W004,24.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,VALVE LIFTER,P31434163,12.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,"VALVE SEAL, EXHAUST",P2418M505,6.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,"VALVE SEAL, INTAKE",P2418M506,6.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,VALVE SPRING,P3174P409,12.0,Y,
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,VALVE TRAIN KIT,PVTK619,1.0,Y,30° VALVES
MASSEY FERGUSON,8240,TRACTOR,AGRICULTURE,PERKINS,1006-60TA,,,,YJ31449,WATER PUMP,PU5MW0192,1.0,Y,
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,BASIC OVERHAUL KIT,PBK693,1.0,Y,
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,CAMSHAFT BUSHING,P31134132,1.0,Y,
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,CONNECTING ROD BOLT,P32762144,12.0,Y,
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,CONNECTING ROD BUSHING,P3112E011,6.0,Y,
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,CONNECTING ROD NUT,P33221328,12.0,Y,
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,CRANKSHAFT KIT,PZZ90085,1.0,Y,INCLUDES BEARINGS
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,CYLINDER HEAD GASKET,P3681H205,1.0,Y,
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,CYLINDER KIT,PCK5762,6.0,Y,
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,CYLINDER SLEEVE,P3135X062,6.0,Y,FINISHED SLIP-FIT SLEEVE.  FOR SEMI-FINISHED PRESS FIT SLEEVE ORDER P3135X063
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,EXHAUST VALVE,P3142D051,6.0,Y,30°
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,FRONT CRANK SEAL,P2418F436,1.0,Y,
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,FUEL TRANSFER PUMP,P2641729,1.0,Y,
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,GLOW PLUG,P2666108,1.0,Y,
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,HEAD GASKET SET,PU5LT1300,1.0,Y,
MASSEY FERGUSON,8120,TRACTOR,AGRICULTURE,PERKINS,1006-60TW,,,,YK31312,INTAKE VALVE,P3142L081,6.0,Y,30°
