MACHINE BRAND,MACHINE MODEL,MACHINE TYPE,MARKET TYPE,ENGINE BRAND,ENGINE MODEL,Piston Mamked # ,Piston Part #s,OH Kit,ENGINE CODE,DESCRIPTION,PART #,QTY PER ENGINE,ACTIVE?,NOTES
CASE-IH,FARMALL 35,TRACTOR,AGRICULTURE,SHIBAURA,N843L-D,,,,MODEL YEAR:  1/08-12/10,"CRANKSHAFT MAIN BUSHING, .50MM",P198517229,1.0,Y,
CASE-IH,FARMALL 35,TRACTOR,AGRICULTURE,SHIBAURA,N843L-D,,,,MODEL YEAR:  1/08-12/10,"CRANKSHAFT MAIN BUSHING, STD",P198517222,1.0,Y,
CASE-IH,FARMALL 35,TRACTOR,AGRICULTURE,SHIBAURA,N843L-D,,,,MODEL YEAR:  1/08-12/10,CYLINDER HEAD GASKET,P111147501,1.0,Y,
CASE-IH,FARMALL 35,TRACTOR,AGRICULTURE,SHIBAURA,N843L-D,,,,MODEL YEAR:  1/08-12/10,CYLINDER REPAIR SLEEVE,84RS,3.0,Y,
CASE-IH,FARMALL 35,TRACTOR,AGRICULTURE,SHIBAURA,N843L-D,,,,MODEL YEAR:  1/08-12/10,EXHAUST VALVE,P120176360,3.0,Y,HEAD DIAMETER MEASURES 33MM
CASE-IH,FARMALL 35,TRACTOR,AGRICULTURE,SHIBAURA,N843L-D,,,,MODEL YEAR:  1/08-12/10,EXHAUST VALVE SEAL,P120406050,3.0,Y,
CASE-IH,FARMALL 35,TRACTOR,AGRICULTURE,SHIBAURA,N843L-D,,,,MODEL YEAR:  1/08-12/10,FLYWHEEL RING GEAR,P115376040,1.0,Y,
CASE-IH,FARMALL 35,TRACTOR,AGRICULTURE,SHIBAURA,N843L-D,,,,MODEL YEAR:  1/08-12/10,FRONT CRANK SEAL,P198636160,1.0,Y,
CASE-IH,FARMALL 35,TRACTOR,AGRICULTURE,SHIBAURA,N843L-D,,,,MODEL YEAR:  1/08-12/10,FUEL INJECTOR,P131406490,3.0,Y,
CASE-IH,FARMALL 35,TRACTOR,AGRICULTURE,SHIBAURA,N843L-D,,,,MODEL YEAR:  1/08-12/10,FULL GASKET SET,PU5LC0018,1.0,Y,MAY REQUIRE ADDITIONAL INTAKE MANIFOLD AND ROCKER COVER GASKETS NOT INCLUDED IN PU5LC0018
