MACHINE BRAND,MACHINE MODEL,MACHINE TYPE,MARKET TYPE,ENGINE BRAND,ENGINE MODEL,Piston Mamked # ,Piston Part #s,OH Kit,ENGINE CODE,DESCRIPTION,PART #,QTY PER ENGINE,ACTIVE?,NOTES
BOBCAT,S160,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"THERMOSTAT, 82C, 07 SERIES",K1G772-73010,1.0,Y,
BOBCAT,S160,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"VALVE, EXHAUST, V2607",K1J700-13120,8.0,Y,
BOBCAT,S160,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"VALVE, INTAKE, V2607",K1J700-13110,8.0,Y,
BOBCAT,S160,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"WASHER, THRUST SET, STD, V2607",K1J700-23530/40,1.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"BOLT, CON ROD, 03 SERIES",K1J700-22140,8.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"BRG, MAIN PAIR, .20mm, V2607",K1J700-23910,5.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"BRG, MAIN PAIR, .40mm V2607",K1J700-23920,5.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"BRG, MAIN PAIR, STD, V2607 ",K1J700-23470,5.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"BRG, ROD PAIR, .20mm, V2607",K1J700-22970,4.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"BRG, ROD PAIR, .40mm, V2607",K1J700-22980,4.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"BRG, ROD PAIR, STD, V2607",K1J700-22310,4.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"BUSHING, CON ROD , V2607",K1J700-21980,8.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"CONNECTING ROD, V2607",K1J700-22012,4.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"GASKET, BOTTOM SET, W/SEALS, V2607",K1J700-99362,1.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"GASKET, HEAD, 1.35mm, V2607",K1J700-03310,1.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"GASKET, ROCKER COVER, V2607",K1J700-14520,1.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"GASKET, TOP SET W/O HEAD GASKET, V2607",K1J700-99350,1.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"GASKET, WATER PUMP, V2607",K1J700-73430,1.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"GLOW, PLUG, V2607",K1J700-65510,4.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"GUIDE, VALVE EXHAUST, V2607",K1J700-13560,8.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"GUIDE, VALVE INTAKE, V2607",K1J700-13540,8.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"INJECTOR, V2607 DIT",K1J700-53000,4.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,KV2607DIT,V2607-DI-T-E3B,"KIT, O/H, V2607 DIT",KV2607DIT,1.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,KV2607DIT/25,V2607-DI-T-E3B,"KIT, O/H, V2607 DIT, .25mm",KV2607DIT/25,1.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,,,V2607-DI-T-E3B,"OIL COOLER, V2607",K1J700-37012,1.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,K1J700-21782,,V2607-DI-T-E3B,"PISTON & RING KIT, .25mm, V2607 DIT",K1J700-21782,4.0,Y,
BOBCAT,S185,SKID STEER,CONSTRUCTION,KUBOTA,V2607,,K1J700-21772,,V2607-DI-T-E3B,"PISTON & RING KIT, STD, V2607 DIT",K1J700-21772,4.0,Y,
