MACHINE BRAND,MACHINE MODEL,MACHINE TYPE,MARKET TYPE,ENGINE BRAND,ENGINE MODEL,Piston Mamked # ,Piston Part #s,OH Kit,ENGINE CODE,DESCRIPTION,PART #,QTY PER ENGINE,ACTIVE?,NOTES
TEKSAN,TJ25PE6S,GENERATOR,INDUSTRIAL,PERKINS,404D-22G,,,POK464,,OVERHAUL KIT ,POK464,1.0,Y,"GN, GV, NON-TURBO, 3 LAYER MLS HEAD GASKET"
TEREX,PT-100G,COMPTRACKLOADER,CONSTRUCTION,PERKINS,1104C-44T,,,POK486,,OVERHAUL KIT ,POK486,1.0,Y,"RG, RH, TURBO, NO PTO DRIVE IN FRONT COVER"
TEREX,PT-100G,COMPTRACKLOADER,CONSTRUCTION,PERKINS,1104C-44T,,,POK491,,OVERHAUL KIT ,POK491,1.0,Y,"RG, RH, TURBO, PTO DRIVE IN FRONT COVER"
TEREX,PT-50,POSI-TRACKLOADER,CONSTRUCTION,PERKINS,404A-22,,,POK464,,OVERHAUL KIT ,POK464,1.0,Y,"GV, GN, NATURALLY ASPIRATED"
TEREX,TSR-50,SKIDSTEER,CONSTRUCTION,PERKINS,404A-22,,,POK464,,OVERHAUL KIT ,POK464,1.0,Y,"GV, GN, NATURALLY ASPIRATED"
TEREX,TSV-50,SKIDSTEER,CONSTRUCTION,PERKINS,404A-22,,,POK464,,OVERHAUL KIT ,POK464,1.0,Y,"GV, GN, NATURALLY ASPIRATED"
TEREX,PT-60,POSI-TRACKLOADER,CONSTRUCTION,PERKINS,404D-22T,,,POK466,,OVERHAUL KIT ,POK466,1.0,Y,"GP BUILD, TURBO"
TEREX,TSR-60,SKIDSTEER,CONSTRUCTION,PERKINS,404D-22T,,,POK466,,OVERHAUL KIT ,POK466,1.0,Y,"GP BUILD, TURBO"
TEREX,TSV-60,SKIDSTEER,CONSTRUCTION,PERKINS,404D-22T,,,POK466,,OVERHAUL KIT ,POK466,1.0,Y,"GP BUILD, TURBO"
TEREX,PT-50,POSI-TRACKLOADER,CONSTRUCTION,PERKINS,404F-22T,,,POK522,,OVERHAUL KIT ,POK522,1.0,Y,"EP BUILD, TURBOCHARGED"
TEREX,TSR-50,SKIDSTEER,CONSTRUCTION,PERKINS,404F-22T,,,POK522,,OVERHAUL KIT ,POK522,1.0,Y,"EP BUILD, TURBOCHARGED"
TEREX,TSV-50,SKIDSTEER,CONSTRUCTION,PERKINS,404F-22T,,,POK522,,OVERHAUL KIT ,POK522,1.0,Y,"EP BUILD, TURBOCHARGED"
TEREX,TC50,EXCAVATOR,CONSTRUCTION,YANMAR,4TNV88,,,YOK4TNV88,4TNV88-BSTX,OVERHAUL KIT ,YOK4TNV88,1.0,Y,
TEREX,TW70,EXCAVATOR,CONSTRUCTION,YANMAR,4TNV98,,,YOK4TNV98D,4TNV98-ZPTX,OVERHAUL KIT ,YOK4TNV98D,1.0,Y,
TEREX,TC85,EXCAVATOR,CONSTRUCTION,YANMAR,4TNV98T,,,YOK4TNV98T,4TNV98T-STXC,OVERHAUL KIT ,YOK4TNV98T,1.0,Y,
TEREX,CR452,ASPHALT PAVER,CONSTRUCTION,CUMMINS,6BT 5.9,,,COK9461/6,,OVERHAUL KIT ,COK9461/6,1.0,Y,"QSB, TURBO OR TURBO & AFTERCOOLED, EMISSION CERTIFIED,PISTON # 7416, 7417, 7418"
TEREX,CR462,ASPHALT PAVER,CONSTRUCTION,CUMMINS,6BT 5.9,,,COK9461/6,,OVERHAUL KIT ,COK9461/6,1.0,Y,"QSB, TURBO OR TURBO & AFTERCOOLED, EMISSION CERTIFIED,PISTON # 7416, 7417, 7418"
TEREX,CR462S,ASPHALT PAVER,CONSTRUCTION,CUMMINS,6BT 5.9,,,COK9461/6,,OVERHAUL KIT ,COK9461/6,1.0,Y,"QSB, TURBO OR TURBO & AFTERCOOLED, EMISSION CERTIFIED,PISTON # 7416, 7417, 7418"
TEREX,CR472,ASPHALT PAVER,CONSTRUCTION,CUMMINS,6BT 5.9,,,COK9461/6,,OVERHAUL KIT ,COK9461/6,1.0,Y,"QSB, TURBO OR TURBO & AFTERCOOLED, EMISSION CERTIFIED,PISTON # 7416, 7417, 7418"
TEREX,CR552,ASPHALT PAVER,CONSTRUCTION,CUMMINS,6BT 5.9,,,COK9461/6,,OVERHAUL KIT ,COK9461/6,1.0,Y,"QSB, TURBO OR TURBO & AFTERCOOLED, EMISSION CERTIFIED,PISTON # 7416, 7417, 7418"
TEREX,CR552RX,ASPHALT PAVER,CONSTRUCTION,CUMMINS,6BT 5.9,,,COK9461/6,,OVERHAUL KIT ,COK9461/6,1.0,Y,"QSB, TURBO OR TURBO & AFTERCOOLED, EMISSION CERTIFIED,PISTON # 7416, 7417, 7418"
