MACHINE BRAND,MACHINE MODEL,MACHINE TYPE,MARKET TYPE,ENGINE BRAND,ENGINE MODEL,Piston Mamked # ,Piston Part #s,OH Kit,ENGINE CODE,DESCRIPTION,PART #,QTY PER ENGINE,ACTIVE?,NOTES
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T / V2003-T-EB,"FRONT CRANK BUSHING, .40MM, 02/03 SERIES SMALL JOURNAL",K17311-23920,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-M-TEB /V2003-M-T-E2B/V2003-M-T-E3B,"FRONT CRANK BUSHING, .40MM, 03 SERIES LARGE JOURNAL",K1A091-23920,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T-EBB / V2003-T-BG / V2003-T-E2B / V2003-T-E2BG,"FRONT CRANK BUSHING, .40MM, 03 SERIES LARGE JOURNAL",K1A091-23920,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-M-TEB /V2003-M-T-E2B/V2003-M-T-E3B,"FRONT CRANK BUSHING, STD, 03 SERIES LARGE JOURNAL",K1A091-23470,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T-EBB / V2003-T-BG / V2003-T-E2B / V2003-T-E2BG,"FRONT CRANK BUSHING, STD, 03 SERIES LARGE JOURNAL",K1A091-23470,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-M-TEB /V2003-M-T-E2B/V2003-M-T-E3B,FRONT CRANK COLLAR,K19202-23250,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T / V2003-T-EB,FRONT CRANK COLLAR,K19202-23250,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T-EBB / V2003-T-BG / V2003-T-E2B / V2003-T-E2BG,FRONT CRANK COLLAR,K19202-23250,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T / V2003-T-EB,"GASKET, WATER PUMP, V2003/V2203",K15766-73430,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T-EBB / V2003-T-BG / V2003-T-E2B / V2003-T-E2BG,"GASKET, WATER PUMP, V2003/V2203",K15766-73430,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T / V2003-T-EB,"HEAD GASKET SET, V2003T IDI",K1G970-99350,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T-EBB / V2003-T-BG / V2003-T-E2B / V2003-T-E2BG,"HEAD GASKET SET, V2003T IDI",K1G970-99350,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-M-TEB /V2003-M-T-E2B/V2003-M-T-E3B,"INJECTOR, FUEL, IDI, V2003/2203/2403 IDI",K16454-53900,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T / V2003-T-EB,"INJECTOR, FUEL, IDI, V2003/2203/2403 IDI",K16419-53900,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T / V2003-T-EB,"INJECTOR, FUEL, IDI, V2003/2203/2403 IDI",K16454-53900,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T-EBB / V2003-T-BG / V2003-T-E2B / V2003-T-E2BG,"INJECTOR, FUEL, IDI, V2003/2203/2403 IDI",K16419-53900,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T-EBB / V2003-T-BG / V2003-T-E2B / V2003-T-E2BG,"INJECTOR, FUEL, IDI, V2003/2203/2403 IDI",K16454-53900,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-M-TEB /V2003-M-T-E2B/V2003-M-T-E3B,"INTAKE VALVE, 03 SERIES IDI",K16484-13110,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T / V2003-T-EB,"INTAKE VALVE, 03 SERIES IDI",K16484-13110,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T / V2003-T-EB,"INTAKE VALVE, 03 SERIES IDI",K16484-13110,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T-EBB / V2003-T-BG / V2003-T-E2B / V2003-T-E2BG,"INTAKE VALVE, 03 SERIES IDI",K16484-13110,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T-EBB / V2003-T-BG / V2003-T-E2B / V2003-T-E2BG,"INTAKE VALVE, 03 SERIES IDI",K16484-13110,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,K16483-21780,,V2003-T / V2003-T-EB,"KIT, PISTON & RINGS, 0.50MM, V2003T IDI",K16483-21780,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,K16483-21780,,V2003-T-EBB / V2003-T-BG / V2003-T-E2B / V2003-T-E2BG,"KIT, PISTON & RINGS, 0.50MM, V2003T IDI",K16483-21780,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,K16483-21770,,V2003-T / V2003-T-EB,"KIT, PISTON & RINGS, STD, V2003T IDI",K16483-21770,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,K16483-21770,,V2003-T-EBB / V2003-T-BG / V2003-T-E2B / V2003-T-E2BG,"KIT, PISTON & RINGS, STD, V2003T IDI",K16483-21770,4.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-M-TEB /V2003-M-T-E2B/V2003-M-T-E3B,"LOWER GASKET SET, 03 SERIES",K1G486-99360,1.0,Y,INCLUDES CRANK SEALS
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T-EBB / V2003-T-BG / V2003-T-E2B / V2003-T-E2BG,"LOWER GASKET SET, 03 SERIES",K1G486-99360,1.0,Y,INCLUDES CRANK SEALS
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T / V2003-T-EB,"LOWER GASKET SET, V2003T IDI",K1G974-99362,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,,V2003-T-EBB / V2003-T-BG / V2003-T-E2B / V2003-T-E2BG,"LOWER GASKET SET, V2003T IDI",K1G974-99362,1.0,Y,
BOBCAT,T180,SKID STEER,CONSTRUCTION,KUBOTA,V2003,,,KV2003MTW,V2003-M-TEB /V2003-M-T-E2B/V2003-M-T-E3B,OVERHAUL KIT,KV2003MTW,1.0,Y,INCLUDES MAIN BEARINGS FOR 60MM MAIN JOURNALS
