MACHINE BRAND,MACHINE MODEL,MACHINE TYPE,MARKET TYPE,ENGINE BRAND,ENGINE MODEL,Piston Mamked # ,Piston Part #s,OH Kit,ENGINE CODE,DESCRIPTION,PART #,QTY PER ENGINE,ACTIVE?,NOTES
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,341-3007,ROCKER BOX SEAL,B217-2752,1.0,Y,
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,233-6648,"ROD BEARING SET, .25MM",B307-9855,1.0,Y,SET OF 4 BEARING PAIRS
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,341-3007,"ROD BEARING SET, .25MM",B307-9855,1.0,Y,SET OF 4 BEARING PAIRS
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,233-6648,"ROD BEARING SET, .50MM",B307-9856,1.0,Y,SET OF 4 BEARING PAIRS
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,341-3007,"ROD BEARING SET, .50MM",B307-9856,1.0,Y,SET OF 4 BEARING PAIRS
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,233-6648,"ROD BEARING SET, STD",B146-7808,1.0,Y,SET OF 4 BEARING PAIRS
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,341-3007,"ROD BEARING SET, STD",B146-7808,1.0,Y,SET OF 4 BEARING PAIRS
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,233-6648,THERMOSTAT,B251-7660,1.0,Y,
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,341-3007,THERMOSTAT,B249-5541,1.0,Y,
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,233-6648,THRUST WASHER SET,B154-1230/31,1.0,Y,SET OF 3 WASHERS
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,341-3007,THRUST WASHER SET,B154-1230/31,1.0,Y,SET OF 3 WASHERS
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,233-6648,TURBOCHARGER,B238-9349,1.0,Y,
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,233-6648,VALVE COVER SEAL,B233-0695,1.0,Y,
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,341-3007,VALVE COVER SEAL,B233-0695,1.0,Y,
CATERPILLAR,226B,SKID STEER,CONSTRUCTION,CATERPILLAR,3024T,,,,233-6648,VALVE LOCK,B153-5556,16.0,Y,
